{1000}	celluloid
{1001}	torch
{1002}	pass
{1003}	new
{1004}	gener
{1005}	filmmak
{1006}	grew
{1007}	1960
{1008}	platoon
{1009}	run
{1010}	empti
{1011}	1969
{1012}	mississippi
{1013}	burn
{1014}	among
{1015}	movi
{1016}	releas
{1017}	past
{1018}	two
{1019}	year
{1020}	writer
{1021}	director
{1022}	brought
{1023}	experi
{1024}	turbul
{1025}	decad
{1026}	screen
{1027}	contemporari
{1028}	60
{1030}	80
{1031}	natur
{1032}	said
{1033}	robert
{1034}	friedman
{1035}	senior
{1036}	vice
{1037}	presid
{1038}	worldwid
{1039}	advertis
{1040}	public
{1041}	warner
{1042}	bro
{1043}	chri
{1044}	gerolmo
{1045}	wrote
{1046}	screenplay
{1049}	note
{1050}	sheer
{1051}	passag
{1052}	time
{1053}	allow
{1054}	other
{1055}	express
{1056}	feel
{1058}	distanc
{1059}	import
{1061}	believ
{1062}	lot
{1063}	think
{1065}	america
{1067}	vietnam
{1068}	war
{1069}	defin
{1071}	mani
{1072}	peopl
{1074}	shatter
{1075}	consensu
{1076}	unit
{1077}	state
{1078}	right
{1079}	even
{1080}	moral
{1081}	duti
{1082}	interven
{1083}	conflict
{1084}	around
{1085}	world
{1087}	today
{1088}	politician
{1089}	talk
{1090}	disparagingli
{1092}	syndrom
{1093}	refer
{1094}	countri
{1095}	reluct
{1096}	use
{1097}	militari
{1098}	forc
{1099}	settl
{1100}	disput
{1102}	futur
{1103}	historian
{1106}	one
{1107}	near
{1108}	destruct
{1109}	american
{1110}	societi
{1112}	uri
{1113}	brofenbrenn
{1114}	professor
{1115}	sociolog
{1116}	cornel
{1117}	univers
{1120}	ii
{1121}	knew
{1122}	fight
{1124}	full
{1125}	metal
{1126}	jacket
{1127}	garden
{1128}	stone
{1130}	good
{1131}	morn
{1133}	hamburg
{1134}	hill
{1135}	bat
{1136}	21
{1139}	dramat
{1140}	backdrop
{1141}	show
{1142}	shape
{1143}	charact
{1144}	live
{1147}	remain
{1148}	emot
{1149}	issu
{1152}	veteran
{1153}	struggl
{1154}	come
{1155}	term
{1158}	oliv
{1161}	direct
{1162}	academi
{1163}	award
{1164}	win
{1166}	saw
{1168}	eight
{1171}	john
{1172}	j
{1173}	anderson
{1174}	palm
{1175}	beach
{1176}	counti
{1177}	sheriff
{1178}	lieuten
{1179}	serv
{1181}	1966
{1182}	67
{1183}	cri
{1184}	first
{1187}	third
{1188}	fourth
{1191}	help
{1192}	understand
{1194}	base
{1197}	grunt
{1199}	film
{1202}	yet
{1203}	resolv
{1205}	respond
{1206}	fact
{1207}	real
{1208}	re
{1209}	curiou
{1212}	20
{1215}	southeast
{1216}	asia
{1217}	pivot
{1218}	foreign
{1223}	civil
{1225}	major
{1226}	domest
{1230}	movement
{1231}	reach
{1232}	peak
{1233}	freedom
{1234}	summer
{1235}	1964
{1236}	larg
{1237}	group
{1238}	volunt
{1239}	head
{1240}	south
{1242}	regist
{1243}	black
{1244}	voter
{1245}	five
{1246}	corner
{1249}	64
{1250}	bronx
{1251}	star
{1252}	jodi
{1253}	foster
{1254}	friend
{1255}	play
{1256}	tim
{1257}	robbin
{1258}	leav
{1259}	neighborhood
{1262}	see
{1263}	rev
{1264}	martin
{1265}	luther
{1266}	king
{1267}	jr
{1268}	televis
{1269}	alan
{1270}	parker
{1273}	focus
{1274}	incid
{1275}	cloud
{1278}	project
{1279}	_
{1280}	1,000
{1281}	young
{1283}	mainstream
{1285}	swept
{1292}	fiction
{1293}	account
{1294}	disappear
{1295}	slay
{1296}	three
{1299}	worker
{1300}	michael
{1301}	schwerner
{1302}	andrew
{1303}	goodman
{1304}	jame
{1305}	chaney
{1306}	report
{1307}	miss
{1308}	june
{1310}	sever
{1311}	hour
{1312}	stop
{1313}	speed
{1315}	philadelphia
{1317}	nation
{1319}	search
{1320}	bodi
{1321}	discov
{1322}	aug
{1323}	4
{1324}	farm
{1325}	outsid
{1326}	town
{1328}	recal
{1331}	student
{1333}	york
{1335}	school
{1336}	system
{1338}	screenwrit
{1341}	power
{1342}	effect
{1343}	way
{1347}	ever
{1348}	consid
{1350}	could
{1351}	wrong
{1356}	willem
{1357}	dafo
{1358}	gene
{1359}	hackman
{1361}	fbi
{1362}	agent
{1363}	tri
{1364}	find
{1368}	overcom
{1369}	fierc
{1370}	local
{1371}	resist
{1372}	solv
{1373}	crime
{1374}	offbeat
{1375}	outrag
{1378}	water
{1379}	hairspray
{1380}	discuss
{1381}	integr
{1382}	baltimor
{1383}	1963
{1385}	teen
{1386}	ager
{1388}	break
{1389}	barrier
{1390}	segreg
{1391}	danc
{1393}	also
{1394}	set
{1396}	barri
{1397}	levinson
{1398}	tin
{1399}	men
{1401}	danni
{1402}	devito
{1403}	richard
{1404}	dreyfuss
{1406}	slick
{1407}	aluminum
{1408}	side
{1409}	salesmen
{1410}	earli
{1413}	mirror
{1414}	squar
{1415}	middl
{1416}	class
{1417}	cultur
{1419}	caught
{1420}	sex
{1421}	polit
{1422}	drug
{1423}	instead
{1425}	well
{1426}	known
{1427}	histor
{1428}	event
{1431}	ernest
{1432}	thompson
{1433}	take
{1434}	person
{1435}	approach
{1438}	downey
{1440}	keifer
{1441}	sutherland
{1443}	colleg
{1445}	battl
{1446}	parent
{1451}	19
{1453}	fulcrum
{1464}	growth
{1465}	artist
{1466}	man
{1468}	write
{1469}	someth
{1470}	happen
{1471}	youth
{1475}	place
{1478}	much
{1479}	evid
{1480}	judd
{1481}	hirsch
{1482}	christin
{1483}	lahti
{1485}	anti
{1487}	activist
{1488}	sabatog
{1489}	napalm
{1490}	plant
{1491}	1970
{1494}	underground
{1496}	children
{1497}	naomi
{1498}	foner
{1505}	execut
{1506}	produc
{1508}	brooklyn
{1509}	n.i
{1510}	daughter
{1511}	sociologist
{1513}	made
{1516}	qualifi
{1517}	give
{1520}	strong
{1522}	theme
{1525}	ve
{1526}	want
{1530}	present
{1534}	member
{1535}	radic
{1537}	democrat
{1539}	attend
{1540}	graduat
{1542}	columbia
{1546}	taught
{1547}	harlem
{1549}	start
{1550}	program
{1555}	carolina
{1565}	excit
{1567}	sorri
{1574}	indic
{1575}	concern
{1578}	principl
{1579}	impact
{1580}	media
{1581}	reflect
{1582}	valu
